grammatical,ungrammatical
"Hon visste inte om också han kände det; och hon kunde inte försöka ta reda på det, för om det skulle visa sig att han inte gjorde det... hon hade ibland en förkänsla av att man som medelålders kunde finna att man på ett enda ögonblick hade mist allt: äkta man och älskare och vän, barn; det var som om de aldrig hade funnits eller som om man utan att själv veta om det hade gått ifrån dem och nu stod där lamslagen inför upptäckten.","Hon visste inte om kände också han det; och hon kunde inte försöka ta reda på det, för om det skulle visa sig att han inte gjorde det... hon hade ibland en förkänsla av att man som medelålders kunde finna att man på ett enda ögonblick hade mist allt: äkta man och älskare och vän, barn; det var som om de aldrig hade funnits eller som om man utan att själv veta om det hade gått ifrån dem och nu stod där lamslagen inför upptäckten."
"Jag vet hur envis du är, Festus...","Jag vet hur envis är du, Festus..."
Men Gud vet vad vi får sedan.,Men Gud vet vad får vi sedan.
"Ingen visste vad den hade för uppgift – en säkerhetsåtgärd nöjde sig en del med att gissa på, medan andra uppfattade den som en i största allmänhet lämplig företeelse, en symbol för framåtskridande, som är oskiljaktig vid alla handels- och industrimässor och jordbruksutställningar och följaktligen på något sätt naturligt sammanhörande med alla offentliga tillställningar.","Ingen visste vad hade den för uppgift – en säkerhetsåtgärd nöjde sig en del med att gissa på, medan andra uppfattade den som en i största allmänhet lämplig företeelse, en symbol för framåtskridande, som är oskiljaktig vid alla handels- och industrimässor och jordbruksutställningar och följaktligen på något sätt naturligt sammanhörande med alla offentliga tillställningar."
Vi visste inte heller vad vi skulle komma att ägna oss åt till sist.,Vi visste inte heller vad skulle vi komma att ägna oss åt till sist.
"Harry hade slunkit ur Voldemorts grepp en andra gång, men det hade varit nära ögat, och till och med nu, flera veckor senare, vaknade Harry alldeles kallsvettig på nätterna och undrade var Voldemort befann sig för närvarande, och mindes hans likbleka ansikte, hans vitt uppspärrade, galna ögon.","Harry hade slunkit ur Voldemorts grepp en andra gång, men det hade varit nära ögat, och till och med nu, flera veckor senare, vaknade Harry alldeles kallsvettig på nätterna och undrade var befann Voldemort sig för närvarande, och mindes hans likbleka ansikte, hans vitt uppspärrade, galna ögon."
Kan ni gissa vem jag såg hos Borgin & Burkes? sade Harry till Ron och Hermione då de klev uppför trappan till Gringotts.,Kan ni gissa vem såg jag hos Borgin & Burkes? sade Harry till Ron och Hermione då de klev uppför trappan till Gringotts.
"Far var emellertid inte okomplicerad, och han var fortfarande tillräckligt medveten för att vrida och vända på sin egen mask och fråga sig vad den föreställde.","Far var emellertid inte okomplicerad, och han var fortfarande tillräckligt medveten för att vrida och vända på sin egen mask och fråga sig vad föreställde den."
"Hon saknade rådighet, sådan var inte tillåten i hennes klass, och jag vet att farmor oroade sig över att hennes son hade hittat en fru som inte visste hur man kokade soppa på sillhuvuden.","Hon saknade rådighet, sådan var inte tillåten i hennes klass, och jag vet att farmor oroade sig över att hennes son hade hittat en fru som inte visste hur kokade man soppa på sillhuvuden."
Så sent som en vecka efter min födsel fortsatte han att fråga Hur mår han?,Så sent som en vecka efter min födsel fortsatte han att fråga Hur mår mår han?
Mycket ofta sa hon Hästen som för var basunstöt frustar: Huj! och jag funderade på vad det kunde vara för slags häst som gjorde så.,Mycket ofta sa hon Hästen som för var basunstöt frustar: Huj! och jag funderade på vad kunde det vara för slags häst som gjorde så.
Medan hon talade satt jag och undrade varför Jove ville ha mig.,Medan hon talade satt jag och undrade varför ville Jove ha mig.
Och han citerar en amerikansk forskare som sökte förklara varför atomenergins folk driver på så hänsynslöst:,Och han citerar en amerikansk forskare som sökte förklara varför driver atomenergins folk på så hänsynslöst:
"Har vi någonsin frågat oss om människorna som arbetar med våra barn i daghem, lekskolor, skolor, är tillräckligt intresserade och inne i yrket att ta hand om våra barn?","Har vi någonsin frågat oss om är människorna som arbetar med våra barn i daghem, lekskolor, skolor, tillräckligt intresserade och inne i yrket att ta hand om våra barn?"
I stället bör man undersöka huruvida inte en registrering skulle kunna utgöra det konstitutiva momentet vid äktenskapets ingående.,I stället bör man undersöka huruvida skulle inte en registrering kunna utgöra det konstitutiva momentet vid äktenskapets ingående.
Man kan fråga sig hur dessa barn blir.,Man kan fråga sig hur blir dessa barn.
Man undrar bara varför han inte själv försöker delta i denna den största av uppgifter.,Man undrar bara varför försöker han inte själv delta i denna den största av uppgifter.
Man kan ju undra hur samlevnaden tar sig ut om den ena parten i ett äktenskap helhjärtat håller på husbondevälde och den andra på den likställighet som enligt svensk lag skall råda mellan makar.,Man kan ju undra hur tar samlevnaden sig ut om den ena parten i ett äktenskap helhjärtat håller på husbondevälde och den andra på den likställighet som enligt svensk lag skall råda mellan makar.
Mookie är bra men han är oerfaren och de vet inte ens vem de ska sätta på högerflygeln.,Mookie är bra men han är oerfaren och de vet inte ens vem ska de sätta på högerflygeln.
Han kunde omöjligt förklara för sig själv varför han kände sig så tilltalad av just det blocket.,Han kunde omöjligt förklara för sig själv varför kände han sig så tilltalad av just det blocket.
Cervantes beskriver hur han av en slump hittade manuskriptet på en marknad i Toledo,Cervantes beskriver hur hittade han av en slump manuskriptet på en marknad i Toledo
Jag har lust att fråga honom varför den inte trycktes.,Jag har lust att fråga honom varför trycktes den inte.
"För övrigt ser Tatu inte ut att vara en människa som har någon lätt tillvaro, och jag undrar om jag egentligen bör fördärva hans middag i Jerusalem för honom i hans dagbok blir den förmodligen bokförd som en förtrollad afton i Le Proche Orient med en armenisk ärkebiskop.","För övrigt ser Tatu inte ut att vara en människa som har någon lätt tillvaro, och jag undrar om bör jag egentligen fördärva hans middag i Jerusalem för honom i hans dagbok blir den förmodligen bokförd som en förtrollad afton i Le Proche Orient med en armenisk ärkebiskop."
"Där fanns mycket rött – alltid en ögonfägnad därför att man vet att där uträttas en del verkligt gott arbete, en förbaskad massa blått, litet grönt, ett och annat penseldrag orange och, på ostkusten, en gredelin fläck för att markera var de famösa kulturapostlarna dricker det famösa lagerölet.","Där fanns mycket rött – alltid en ögonfägnad därför att man vet att där uträttas en del verkligt gott arbete, en förbaskad massa blått, litet grönt, ett och annat penseldrag orange och, på ostkusten, en gredelin fläck för att markera var dricker de famösa kulturapostlarna det famösa lagerölet."
"Det var precis som om jag hade blivit invigd i en sammansvärjning, något – jag vet inte hur jag ska säga – något lite skumt, och jag var glad när jag fick gå.","Det var precis som om jag hade blivit invigd i en sammansvärjning, något – jag vet inte hur ska jag säga – något lite skumt, och jag var glad när jag fick gå."
Jag kunde inte låta bli att en gång fråga honom vad han alls hade givit sig dit för.,Jag kunde inte låta bli att en gång fråga honom vad hade han alls givit sig dit för.
Ni vet hur det är just nu.,Ni vet hur är det just nu.
Jag undrar just om jag kommer så långt.,Jag undrar just om kommer jag så långt.
Men ingen tycktes ha sett till honom eller veta om han var eller hade varit i huvudstaden.,Men ingen tycktes ha sett till honom eller veta om var han eller hade varit i huvudstaden.
"Han vet vad han vill, men han är inte omedgörlig, inte alls...","Han vet vad vill han, men han är inte omedgörlig, inte alls..."
Du vet inte hur det är här.,Du vet inte hur är det här.
"De hade frågat Percy om han ville följa med, men han hade sagt att han var upptagen.","De hade frågat Percy om ville han följa med, men han hade sagt att han var upptagen."
"Jag önskar jag visste vad han håller på med, sade Fred med bekymrad min.","Jag önskar jag visste vad håller han på med, sade Fred med bekymrad min."
Jag visste inte vad detta betydde och när jag hade lärt mig att översätta det begrep jag det inte.,Jag visste inte vad betydde detta och när jag hade lärt mig att översätta det begrep jag det inte.
Resten av sitt intellekt gjorde hon sig av med vid giftermålet och kom aldrig på tanken att fråga min far vad han hade gjort av det.,Resten av sitt intellekt gjorde hon sig av med vid giftermålet och kom aldrig på tanken att fråga min far vad hade han gjort av det.
XML-syntaxen (märkena och deras placering i dokumentet) definierar och beskriver informationen i ett XML-dokument men anger inte hur den ska visas.,XML-syntaxen (märkena och deras placering i dokumentet) definierar och beskriver informationen i ett XML-dokument men anger inte hur ska den visas.
Quinn satt tyst en stund. Han lät blicken svepa över rummet utan att se något och försökte tänka ut hur han skulle börja.,Quinn satt tyst en stund. Han lät blicken svepa över rummet utan att se något och försökte tänka ut hur skulle han börja.
Det skulle förklara varför samtalet gick till er men inte varför de över huvud taget ville tala med mig.,Det skulle förklara varför gick samtalet till er men inte varför de över huvud taget ville tala med mig.
"Jaha, nog duger han därute, muttrade han och så frågade han med en viss iver om han fick ta mått av mitt huvud.","Jaha, nog duger han därute, muttrade han och så frågade han med en viss iver om fick han ta mått av mitt huvud."
"Han hade legat ute i nära tre år, och jag kunde längre fram inte låta bli att fråga honom hur han bar sig åt för att kunna ståta med sådana stärksaker.","Han hade legat ute i nära tre år, och jag kunde längre fram inte låta bli att fråga honom hur bar han sig åt för att kunna ståta med sådana stärksaker."
Jag skulle också gärna vilja veta hur ni ser på tidsplanerna.,Jag skulle också gärna vilja veta hur ser ni på tidsplanerna.
"En mustig stank av dött djur fläktade mot honom, som något slags gas, då och då medan han drack sitt te, och han steg upp och såg sig om, som han hade gjort så många gånger förut, och lika framgångslöst, för att undersöka om en råtta eller mullvad låg och ruttnade någonstans.","En mustig stank av dött djur fläktade mot honom, som något slags gas, då och då medan han drack sitt te, och han steg upp och såg sig om, som han hade gjort så många gånger förut, och lika framgångslöst, för att undersöka om låg en råtta eller mullvad och ruttnade någonstans."
Jag vet inte var i helvete han är nånstans.,Jag vet inte var i helvete är han nånstans.
Han vet vad han vill.,Han vet vad vill han.
"Om jag var tvungen att ta hand om dom engelskspråkiga sändningarna i morgon, så vet ni vad jag måste försöka klara mig med: en hop lambala- och ezenzeli-talande från lokalavdelningarna och några skollärare som har flytt från Sydafrika.","Om jag var tvungen att ta hand om dom engelskspråkiga sändningarna i morgon, så vet ni vad måste jag försöka klara mig med: en hop lambala- och ezenzeli-talande från lokalavdelningarna och några skollärare som har flytt från Sydafrika."
Medan de gick därifrån sade hon: Gissa vad jag heter! och tillade när han verkade generad:,Medan de gick därifrån sade hon: Gissa vad heter jag! och tillade när han verkade generad:
Mr Weasley ville gärna att Harry skulle sitta närmast honom vid middagsbordet så att han kunde bombardera honom med frågor om livet hos mugglarna och be honom förklara hur sådana saker som elkontakter och postväsende fungerade.,Mr Weasley ville gärna att Harry skulle sitta närmast honom vid middagsbordet så att han kunde bombardera honom med frågor om livet hos mugglarna och be honom förklara hur sådana fungerade saker som elkontakter och postväsende.
Alla vet hur berättelsen förändras när han får vattnet att krusas.,Alla vet hur förändras berättelsen när han får vattnet att krusas.
Jag vet inte vad jag gör.,Jag vet inte vad gör jag.
