grammatical,ungrammatical
"Jag slår opp en martini åt Dorothy också, det kan kanske locka hit henne.","Jag slå opp en martini åt Dorothy också, det kan kanske locka hit henne."
Ni begär för mycket.,Ni begära för mycket.
Det ökar med 20 kr i månaden för varje barn utöver ett.,Det öka med 20 kr i månaden för varje barn utöver ett.
"Ordet är ert, herr van Miert.","Ordet vara ert, herr van Miert."
Harry Potter måste säga att han inte ska fara tillbaka till skolan,Harry Potter måste säga att han inte skola fara tillbaka till skolan
"De rapporter som föreligger har trots detta motiverat en planmässig forskning, bl a på lasarettet i Lund, ett projekt där både psykiater, neurologer, neurokirurger och röntgenologer är engagerade.","De rapporter som föreligga har trots detta motiverat en planmässig forskning, bl a på lasarettet i Lund, ett projekt där både psykiater, neurologer, neurokirurger och röntgenologer är engagerade."
"Det officiella mönstret i USA, varifrån vi förr eller senare hämtar idealen för vårt beteende, visar knappast tecken på att kvinnan är på väg att vinna sin självständiga ställning vid sidan av och bredvid mannen.","Det officiella mönstret i USA, varifrån vi förr eller senare hämta idealen för vårt beteende, visar knappast tecken på att kvinnan är på väg att vinna sin självständiga ställning vid sidan av och bredvid mannen."
"Och det här, återtog Auster och vände sig till kvinnan, det här är min hustru Siri.","Och det här, återta Auster och vände sig till kvinnan, det här är min hustru Siri."
"Det är inte alltid lätt att få lugn omkring sig om man har flera småbarn i familjen - som kanske dessutom känner sig avundsjuka på den minste som får ha mamma alldeles för sig själv, men om matningen kan ordnas som en skön stund utan jäkt och brådska är det bäst för både mor och barn.","Det vara inte alltid lätt att få lugn omkring sig om man har flera småbarn i familjen - som kanske dessutom känner sig avundsjuka på den minste som får ha mamma alldeles för sig själv, men om matningen kan ordnas som en skön stund utan jäkt och brådska är det bäst för både mor och barn."
"Om en medlem visar utpräglat aggressivt, självständigt, initiativrikt, individuellt eller auktoritärt beteende, visar de övriga medlemmarna i gruppen mindre av samma beteende än de gör i andra situationer.","Om en medlem visa utpräglat aggressivt, självständigt, initiativrikt, individuellt eller auktoritärt beteende, visar de övriga medlemmarna i gruppen mindre av samma beteende än de gör i andra situationer."
"- Jag är själv inte särskilt villig att dra långtgående slutsatser ur materialet, säger Åke Nilsson.","- Jag vara själv inte särskilt villig att dra långtgående slutsatser ur materialet, säger Åke Nilsson."
"Och till slut sjönk solen i sin omärkligt lutande bana mot horisonten och skiftade från vitglöd till matt rött, utan strålar och utan värme, som om hon hållit på att slockna, dödsmärkt vid beröringen med det mörker som ruvade över ett människomyller.","Och till slut sjunka solen i sin omärkligt lutande bana mot horisonten och skiftade från vitglöd till matt rött, utan strålar och utan värme, som om hon hållit på att slockna, dödsmärkt vid beröringen med det mörker som ruvade över ett människomyller."
"Detta innebär inte att förhållandena är oförändrade i andra länder, som exempel kan nämnas den nya synen på skilsmässa i Italien.","Detta innebära inte att förhållandena är oförändrade i andra länder, som exempel kan nämnas den nya synen på skilsmässa i Italien."
"Ramvillkoren har ändrats på några punkter, och andra är oförändrade.","Ramvillkoren ha ändrats på några punkter, och andra är oförändrade."
Om du har kostnader för resor till och från doktorn eller sjukhuset får du ersättning från försäkringskassan efter samma regler som tidigare.,Om du ha kostnader för resor till och från doktorn eller sjukhuset får du ersättning från försäkringskassan efter samma regler som tidigare.
"I dessa fall då orsaken alltså inte är den vanliga höggradig åderförkalkning, finns chansen att återföra patienten till ett normalt liv genom en operation av det slag som återges på skissen här intill","I dessa fall då orsaken alltså inte vara den vanliga höggradig åderförkalkning, finns chansen att återföra patienten till ett normalt liv genom en operation av det slag som återges på skissen här intill"
"I den extremt patriarkaliska familjen är en man, i regel den äldste, den maktutövande.","I den extremt patriarkaliska familjen vara en man, i regel den äldste, den maktutövande."
"Denna predestination till en speciell uppgift är kvinnans biologiska tragedi, som man ville bryta genom att överföra barnavården på kollektivet.","Denna predestination till en speciell uppgift vara kvinnans biologiska tragedi, som man ville bryta genom att överföra barnavården på kollektivet."
"Den röda, första delen tycks ha varit lättast.","Den röda, första delen tyckas ha varit lättast."
Kön heter på latin sexus.,Kön heta på latin sexus.
"Praktisk yrkesorientering (pryo), dvs praktik på en arbetsplats, skall alla elever i årskurs 9 ha under två veckor.","Praktisk yrkesorientering (pryo), dvs praktik på en arbetsplats, skola alla elever i årskurs 9 ha under två veckor."
"De besvaras ibland med påståendet, att äktenskapet är en ren privatsak, som inte angår samhället.","De besvaras ibland med påståendet, att äktenskapet vara en ren privatsak, som inte angår samhället."
"Södra stambanan passerar således varken genom Jönköping, Växjö, Kristianstad eller Hälsingborg utan mitt emellan dessa gamla städer.","Södra stambanan passera således varken genom Jönköping, Växjö, Kristianstad eller Hälsingborg utan mitt emellan dessa gamla städer."
Alldeles i slutet av sista terminen hade Harry stått ansikte mot ansikte med ingen mindre än Lord Voldemort själv.,Alldeles i slutet av sista terminen ha Harry stått ansikte mot ansikte med ingen mindre än Lord Voldemort själv.
"Innan skymningen drog en ridå för skogen en bit därifrån brukade han ibland ströva ut, in i solljuset, vilket samlades som gyllene vatten i sänkan mellan ängarna, och skjuta en rapphöna.","Innan skymningen dra en ridå för skogen en bit därifrån brukade han ibland ströva ut, in i solljuset, vilket samlades som gyllene vatten i sänkan mellan ängarna, och skjuta en rapphöna."
Mitt i alltihop kunde Quinn inte låta bli att glädja sig åt detta.,Mitt i alltihop kunna Quinn inte låta bli att glädja sig åt detta.
"Om du vill återställa Access 2000-versionen av sidan tar du bort den konverterade filen, ändrar tillbaka namnet på säkerhetskopian och ansluter sidan till databasen.","Om du vilja återställa Access 2000-versionen av sidan tar du bort den konverterade filen, ändrar tillbaka namnet på säkerhetskopian och ansluter sidan till databasen."
Dom äter opp skolans kålhuven.,Dom äta opp skolans kålhuven.
Om jag bara kunde få släppa ut henne på natten,Om jag bara kunna få släppa ut henne på natten
Jag tror att vi med denna hierarki har löst en stor del av de små och medelstora företagens problem.,Jag tro att vi med denna hierarki har löst en stor del av de små och medelstora företagens problem.
Dessutom är det många i u-länderna som slutar skolan efter ett par års dålig undervisning.,Dessutom vara det många i u-länderna som slutar skolan efter ett par års dålig undervisning.
Fäderna utväljer äktenskapspartner åt sina barn och även brudköp förekommer.,Fäderna utvälja äktenskapspartner åt sina barn och även brudköp förekommer.
Han var precis på väg att kravla sig tillbaka upp på byrån när morbror Vernon bultade på den upplåsta dörren – och den for upp med en skräll.,Han vara precis på väg att kravla sig tillbaka upp på byrån när morbror Vernon bultade på den upplåsta dörren – och den for upp med en skräll.
"På ena sidan om sig hade han parken, grön i morgonsolen och med skarpa, snabbt förbiilande skuggor; på den andra sidan hade han Fricks konstmuseum, en vit, stram byggnad som tycktes överlämnad åt de döda.","På ena sidan om sig ha han parken, grön i morgonsolen och med skarpa, snabbt förbiilande skuggor; på den andra sidan hade han Fricks konstmuseum, en vit, stram byggnad som tycktes överlämnad åt de döda."
Den lilla tvågenerationsfamiljen går miste om mycket som fanns i forna tiders stora familjer med flera generationer.,Den lilla tvågenerationsfamiljen gå miste om mycket som fanns i forna tiders stora familjer med flera generationer.
En svart man i khakishorts (det brukade vara en vit man i vita strumpor) sprutade ett kvalmigt insektsmedel över passagerarnas huvuden mot eventuella moskiter eller tsetseflugor som kunde finnas i planet.,En svart man i khakishorts (det bruka vara en vit man i vita strumpor) sprutade ett kvalmigt insektsmedel över passagerarnas huvuden mot eventuella moskiter eller tsetseflugor som kunde finnas i planet.
"Men jag tror att orsakerna till många av våra samlevnadssvårigheter ligger djupare, är beroende av fundamentala byggstenar i vårt samhälle, i vår miljö.","Men jag tro att orsakerna till många av våra samlevnadssvårigheter ligger djupare, är beroende av fundamentala byggstenar i vårt samhälle, i vår miljö."
"Världen skälvde till, som hade dess klocka stannat, men i själva verket var det vårt eget fartyg som hade slagit sin maskin i back.","Världen skälva till, som hade dess klocka stannat, men i själva verket var det vårt eget fartyg som hade slagit sin maskin i back."
"Alla Harrys trolldomsböcker, hans trollstav, klädnader och den förnämsta kvasten av alla, Nimbus Tvåtusen, hade låsts in av morbror Vernon i en skrubb under trappan i samma ögonblick Harry kommit hem.","Alla Harrys trolldomsböcker, hans trollstav, klädnader och den förnämsta kvasten av alla, Nimbus Tvåtusen, ha låsts in av morbror Vernon i en skrubb under trappan i samma ögonblick Harry kommit hem."
Får vi alltså be arbetsgivarna om hänsyn till individernas egen dygnsrytm.,få vi alltså be arbetsgivarna om hänsyn till individernas egen dygnsrytm.
"Man kan vara fullkomligt säker på att profeten Jeremia har gått den här vägen, säger Shahar.","Man kunna vara fullkomligt säker på att profeten Jeremia har gått den här vägen, säger Shahar."
Det har emellertid uppstått strid om forskarnas juridiska och moraliska rätt att använda dessa droger på försökspersoner.,Det ha emellertid uppstått strid om forskarnas juridiska och moraliska rätt att använda dessa droger på försökspersoner.
Det är alltså riksdagen - och ytterst väljarna - som har det avgörande inflytandet på regeringens sammansättning och politik.,Det vara alltså riksdagen - och ytterst väljarna - som har det avgörande inflytandet på regeringens sammansättning och politik.
Man vänder sig till pastorsexpeditionen.,Man vända sig till pastorsexpeditionen.
En titt på nuvarande diskussioner i rådet understryker detta.,En titt på nuvarande diskussioner i rådet understryka detta.
"Att säga att väderkvarnar var riddare, att ett tvättfat var en hjälm, att dockor var riktiga människor?","Att säga att väderkvarnar vara riddare, att ett tvättfat var en hjälm, att dockor var riktiga människor?"
"Varje barn under 16 år får 225 kr i kvartalet som barnbidrag, alltså 900 kr per år.","Varje barn under 16 år få 225 kr i kvartalet som barnbidrag, alltså 900 kr per år."
"Professor Cabrols försök, som vi stöder, får oss att bryta overksamheten och komma ut ur osäkerheten.","Professor Cabrols försök, som vi stödja, får oss att bryta overksamheten och komma ut ur osäkerheten."
"HTML beskriver hur en webbsida ska se ut, medan XML definierar informationen och beskriver hur den ska struktureras.","HTML beskriva hur en webbsida ska se ut, medan XML definierar informationen och beskriver hur den ska struktureras."
Hur auktoriteten upplevs i stockholmsfamiljer kan vi läsa om i Gustav Jonssons och Anna-Lisa Kälvestens undersökning 222 stockholmspojkar (Uppsala 1964).,Hur auktoriteten upplevs i stockholmsfamiljer kunna vi läsa om i Gustav Jonssons och Anna-Lisa Kälvestens undersökning 222 stockholmspojkar (Uppsala 1964).
"De flesta värnpliktiga tillhör kategori F, som har 300 dagars grundutbildning.","De flesta värnpliktiga tillhöra kategori F, som har 300 dagars grundutbildning."
"En minoritet ställde sig dock positiv till satsen, och lustigt nog var det något vanligare bland kvinnorna: 21 procent mot 18 procent bland männen.","En minoritet ställa sig dock positiv till satsen, och lustigt nog var det något vanligare bland kvinnorna: 21 procent mot 18 procent bland männen."
Då säger någon att det inte kan dröja länge nu förrän ryssarna släpper Arafat.,Då säga någon att det inte kan dröja länge nu förrän ryssarna släpper Arafat.
Be henne sjunga! ropade Dando stolt.,Be henne sjunga! ropa Dando stolt.
Herrar Kahn och Bruce-Briggs påpekar inledningsvis att deras bok i grunden är en organisationsprodukt.,Herrar Kahn och Bruce-Briggs påpeka inledningsvis att deras bok i grunden är en organisationsprodukt.
I stället begav han sig till New York.,I stället bege han sig till New York.
"Medan QE2 så fylld av självförtroende gled fram över vattnet tänkte jag på Titanic, spöklik och övergiven där under oss, och någonstans där uppe, i det hemlighetsfulla mörkret, navigerade Dårarnas Skepp mellan stjärnorna.","Medan QE2 så fylld av självförtroende glida fram över vattnet tänkte jag på Titanic, spöklik och övergiven där under oss, och någonstans där uppe, i det hemlighetsfulla mörkret, navigerade Dårarnas Skepp mellan stjärnorna."
Möjligheten att få del av denna njutning har i vår tid ökats genom preventivmedelsteknik.,Möjligheten att få del av denna njutning ha i vår tid ökats genom preventivmedelsteknik.
Den som bestämmer mest hemma hos oss...,Den som bestämma mest hemma hos oss...
"Sir Reginald Harvey var styrelseordförande i ett konsortium som bestod av de tre gruvkoncessionsbolagen, och det var allmänt bekant att han i sin egenskap av personlig vän till Redvers Ledley, den mest impopuläre guvernör som territoriet någonsin haft, hade förmått guvernören att förbjuda gruvarbetarförbundet vid en tidpunkt då Mweta och Shinza utnyttjade det för att främja frihetsrörelsen.","Sir Reginald Harvey vara styrelseordförande i ett konsortium som bestod av de tre gruvkoncessionsbolagen, och det var allmänt bekant att han i sin egenskap av personlig vän till Redvers Ledley, den mest impopuläre guvernör som territoriet någonsin haft, hade förmått guvernören att förbjuda gruvarbetarförbundet vid en tidpunkt då Mweta och Shinza utnyttjade det för att främja frihetsrörelsen."
I stället visade det sig vara en ung man som var helt klädd i vitt och hade ett barns vitblonda hår.,I stället visa det sig vara en ung man som var helt klädd i vitt och hade ett barns vitblonda hår.
"Jag såg att ni skulle komma tillbaka, det stod en artikel i tidningen, min fru, Margot skickade den till mig i Schweiz, så jag antog att det var ni.","Jag se att ni skulle komma tillbaka, det stod en artikel i tidningen, min fru, Margot skickade den till mig i Schweiz, så jag antog att det var ni."
KPI berättar för oss hur mycket dyrare det har blivit att leva.,KPI berätta för oss hur mycket dyrare det har blivit att leva.
Hjälpbehovet skall ha uppstått innan pensionären fyller 63 år.,Hjälpbehovet skola ha uppstått innan pensionären fyller 63 år.
Dagerns finhet påverkar mig också.,Dagerns finhet påverka mig också.
Det enda försonande är idén.,Det enda försonande vara idén.
Ändå vet alla som arbetar på fältet att skolket tenderar att öka.,Ändå veta alla som arbetar på fältet att skolket tenderar att öka.
I positiv riktning för kvinnornas yrkesverksamhet verkar den jämställdhet mellan flickor och pojkar som råder inom skolan.,I positiv riktning för kvinnornas yrkesverksamhet verka den jämställdhet mellan flickor och pojkar som råder inom skolan.
Jag är min fars dotter.,Jag vara min fars dotter.
"Jämförelsen haltar, men jag är fullt i stånd att uppföra mig som en åttaarmad huvudfoting samtidigt som jag bedyrar oskulden hos mina två händer på bordet.","Jämförelsen halta, men jag är fullt i stånd att uppföra mig som en åttaarmad huvudfoting samtidigt som jag bedyrar oskulden hos mina två händer på bordet."
Det finns dock två grupper som står emot varandra.,Det finnas dock två grupper som står emot varandra.
"När hemproduktionen var omfattande och den ekonomiska funktionen därmed speciellt viktig, blev ekonomiska faktorer också avgörande för partnerval och familjesammanhållning.","När hemproduktionen vara omfattande och den ekonomiska funktionen därmed speciellt viktig, blev ekonomiska faktorer också avgörande för partnerval och familjesammanhållning."
Socialt beteende innebär samspel mellan individerna.,Socialt beteende innebära samspel mellan individerna.
Mookie är bra men han är oerfaren och de vet inte ens vem de ska sätta på högerflygeln.,Mookie vara bra men han är oerfaren och de vet inte ens vem de ska sätta på högerflygeln.
De som talar för hemmamamman beskriver daghems- och nyckelbarnen som de presumtiva kunderna i våra fängelser.,De som tala för hemmamamman beskriver daghems- och nyckelbarnen som de presumtiva kunderna i våra fängelser.
Är han eller hon under 18 år behövs också särskilt tillstånd från länsstyrelsen.,vara han eller hon under 18 år behövs också särskilt tillstånd från länsstyrelsen.
Hon hade på sig ett svart oljeställ som hade tillhört hennes man.,Hon ha på sig ett svart oljeställ som hade tillhört hennes man.
Vad utmärker denna typ av bebyggelse?,Vad utmärka denna typ av bebyggelse?
Detta är särskilt viktigt med tanke på många varor som väger tungt i hushållens budget.,Detta vara särskilt viktigt med tanke på många varor som väger tungt i hushållens budget.
Bray skrattade åt Dandos min:,Bray skratta åt Dandos min:
I och med att hälsan sviktar blir lönen ännu lägre och spiralen kommer i gång neråt.,I och med att hälsan svikta blir lönen ännu lägre och spiralen kommer i gång neråt.
"Och ändå höll han sig liksom avsiktligt inom ett noga kringskuret område som i norr begränsades av 110:e gatan, i söder av 72:a gatan, i väster av Riverside Park och i öster av Amsterdam Avenue.","Och ändå hålla han sig liksom avsiktligt inom ett noga kringskuret område som i norr begränsades av 110:e gatan, i söder av 72:a gatan, i väster av Riverside Park och i öster av Amsterdam Avenue."
De var erövrare och till det fordras bara råa styrkan – ingenting att skryta med eftersom ens styrka bara är det tillfälliga resultatet av andras svaghet.,De vara erövrare och till det fordras bara råa styrkan – ingenting att skryta med eftersom ens styrka bara är det tillfälliga resultatet av andras svaghet.
"Hit hör färg, lera, sand, papper, sax och klister, byggklossar m m.","Hit höra färg, lera, sand, papper, sax och klister, byggklossar m m."
"Ur biologisk synpunkt kan det fixa, nedärvda beteendet vara en fördel, eftersom insekternas liv är relativt kort och inlärning är en tidskrävande procedur.","Ur biologisk synpunkt kunna det fixa, nedärvda beteendet vara en fördel, eftersom insekternas liv är relativt kort och inlärning är en tidskrävande procedur."
Quinn var just i färd med att vira upp snöret för ett nytt försök när Auster och hans hustru kom in i rummet.,Quinn vara just i färd med att vira upp snöret för ett nytt försök när Auster och hans hustru kom in i rummet.
Vissa hormoner avsöndras mer än normalt och håller kroppen i ständig alarmberedskap.,Vissa hormoner avsöndras mer än normalt och hålla kroppen i ständig alarmberedskap.
"När du filtrerar ett fält markerar du ett eller flera dataelement i fältet som du vill granska, och döljer alla andra element.","När du filtrera ett fält markerar du ett eller flera dataelement i fältet som du vill granska, och döljer alla andra element."
Figuren visar hur hos en art klon böjs utåt-uppåt och tillbaka till utgångsläget.,Figuren visa hur hos en art klon böjs utåt-uppåt och tillbaka till utgångsläget.
Alla skrattade.,Alla skratta.
"Målet för bostadspolitiken är att var och en ska ha möjlighet att skaffa en tillräckligt rymlig, tillräckligt modern och samtidigt välbelägen bostad.","Målet för bostadspolitiken vara att var och en ska ha möjlighet att skaffa en tillräckligt rymlig, tillräckligt modern och samtidigt välbelägen bostad."
Ibland tror jag att min personlighet är en atoll för ett trupptransportfartyg: Invadera mig!,Ibland tro jag att min personlighet är en atoll för ett trupptransportfartyg: Invadera mig!
Genom denna omfördelning i tiden av kostnader motverkas också en del av den hyressplittring (se nedan) som kan uppkomma på grund av förändringar av byggnadskostnaderna.,Genom denna omfördelning i tiden av kostnader motverkas också en del av den hyressplittring (se nedan) som kunna uppkomma på grund av förändringar av byggnadskostnaderna.
Det finns visserligen färre lediga platser i år än i fjol men i vissa yrken är det fortfarande stor brist på folk.,Det finnas visserligen färre lediga platser i år än i fjol men i vissa yrken är det fortfarande stor brist på folk.
"För slottsträdgårdarna hade Frankrike varit mönstergivande, och den franska trädgårdskonstens symmetriska gångar, klippta häckar och anlagda bassänger hade präglat dem.","För slottsträdgårdarna ha Frankrike varit mönstergivande, och den franska trädgårdskonstens symmetriska gångar, klippta häckar och anlagda bassänger hade präglat dem."
Sådana intelligenta synpunkter har inte alltid varit felaktiga.,Sådana intelligenta synpunkter ha inte alltid varit felaktiga.
Som sådana åtnjuter de enligt borgerlig och kyrklig lag bestämda rättigheter och är underkastade bestämda skyldigheter.,Som sådana åtnjuta de enligt borgerlig och kyrklig lag bestämda rättigheter och är underkastade bestämda skyldigheter.
"Någon ropade till sig Pettigrew, varpå Bray och kvinnan stod där mitt emot varandra alldeles som de dansande.","Någon ropa till sig Pettigrew, varpå Bray och kvinnan stod där mitt emot varandra alldeles som de dansande."
Jag trodde aldrig att jag skulle återvända dit ner.,Jag tro aldrig att jag skulle återvända dit ner.
"Dobby har dem här, sade alfen.","Dobby ha dem här, sade alfen."
"En gammal kvinna med knollrigt, grått hår vaknade upp på sin stol utanför toaletterna och öppnade dörren, leende och med en smutsig putstrasa i ena handen.","En gammal kvinna med knollrigt, grått hår vakna upp på sin stol utanför toaletterna och öppnade dörren, leende och med en smutsig putstrasa i ena handen."
När man ska gifta sig måste detta anmälas till pastorsexpeditionen där man bor.,När man skola gifta sig måste detta anmälas till pastorsexpeditionen där man bor.
Även förmögenhet (exempelvis i fastighet) över vissa belopp kan påverka bostadstillägget.,Även förmögenhet (exempelvis i fastighet) över vissa belopp kunna påverka bostadstillägget.
Varför det? utbrast jag.,Varför det? utbrista jag.
"Hennes bröst som mina bröst, hennes mun som min mun, blev något mer än Narkissos hypnotiserad av sin egen avbild.","Hennes bröst som mina bröst, hennes mun som min mun, bli något mer än Narkissos hypnotiserad av sin egen avbild."
Bolagsdirektören var vår kapten och vår värd.,Bolagsdirektören vara vår kapten och vår värd.
"Clough går uteslutande in för sista året, sedan självstyrelsen har beviljats och datum för självständighetsdagen fastställts.","Clough gå uteslutande in för sista året, sedan självstyrelsen har beviljats och datum för självständighetsdagen fastställts."
"i det klara månljuset körde de förbi mangoträdens skuggor, vilka låg under träden som sovande djur;","i det klara månljuset köra de förbi mangoträdens skuggor, vilka låg under träden som sovande djur;"
Men samhället bestämmer inte bara i frågan om sättet för äktenskapets ingående.,Men samhället bestämma inte bara i frågan om sättet för äktenskapets ingående.
Och ändå var det som om den kastade ljus över saker och ting.,Och ändå vara det som om den kastade ljus över saker och ting.
