grammatical,ungrammatical
Från 1 januari 1970 tillämpas ett nytt och enklare system för ersättning av kostnader vid läkarvård.,Från 1 januari 1970 tillämpas ett ny och enklare system för ersättning av kostnader vid läkarvård.
Enhetliga avgifter,Enhetlig avgifter
I de avgifter du betalar ingår också eventuella röntgen- och laboratorieundersökningar.,I de avgifter du betalar ingår också eventuell röntgen- och laboratorieundersökningar.
Ett annat exempel: om du får remiss från en provinsialläkare till en specialist på en sjukhusklinik behöver du inte betala något ytterligare för det första besöket hos specialisten.,Ett annan exempel: om du får remiss från en provinsialläkare till en specialist på en sjukhusklinik behöver du inte betala något ytterligare för det första besöket hos specialisten.
Återbesök hos läkare betalas som nytt läkarbesök.,Återbesök hos läkare betalas som ny läkarbesök.
Sjukpenningförsäkrade pensionärer har dessutom rätt till sjukpenning,Sjukpenningförsäkrad pensionärer har dessutom rätt till sjukpenning
Med halvöppen vård menas att man ligger på sjukhus bara viss del av dygnet eller vissa dagar i veckan.,Med halvöppen vård menas att man ligger på sjukhus bara viss del av dygnet eller viss dagar i veckan.
Om du måste anlita läkare utanför sjukhuset under permissionen gäller numera samma ersättningsbestämmelser som för andra läkarbesök.,Om du måste anlita läkare utanför sjukhuset under permissionen gäller numera samma ersättningsbestämmelser som för annan läkarbesök.
Om du måste söka läkare (t ex specialist) långt hemifrån kan försäkringskassan i vissa fall ersätta dina utgifter för övernattning.,Om du måste söka läkare (t ex specialist) långt hemifrån kan försäkringskassan i viss fall ersätta dina utgifter för övernattning.
De försäkrades egna sjukförsäkringsavgifter påverkas däremot inte.,De försäkrades egen sjukförsäkringsavgifter påverkas däremot inte.
Man uppskattar dem till närmare 600000 och räknar då in såväl familjemedlemmar som dem vilka förvärvat svenskt medborgarskap under efterkrigstiden.,Man uppskattar dem till närmare 600000 och räknar då in såväl familjemedlemmar som dem vilka förvärvat svensk medborgarskap under efterkrigstiden.
Det fanns 230000 arbetsanmälda utländska medborgare i Sverige den 1 oktober 1970.,Det fanns 230000 arbetsanmäld utländska medborgare i Sverige den 1 oktober 1970.
Medborgare i icke-nordiska länder måste ha arbetstillstånd före inresan till Sverige.,Medborgare i icke-nordisk länder måste ha arbetstillstånd före inresan till Sverige.
Vilka rättigheter har utländska medborgare i Sverige?,Vilka rättigheter har utländsk medborgare i Sverige?
Utländska medborgare skall behandlas likvärdigt med svenska medborgare - detta är den vägledande regeln.,Utländsk medborgare skall behandlas likvärdigt med svenska medborgare - detta är den vägledande regeln.
Utländska medborgare har ingen rösträtt i allmänna val och de gör inte värnplikt i Sverige.,Utländsk medborgare har ingen rösträtt i allmänna val och de gör inte värnplikt i Sverige.
"En person som lämnat sitt hemland, där han på grund av sin härstamning, tillhörighet till viss samhällsgrupp eller politisk uppfattning eller eljest på grund av politiska förhållanden riskerar att berövas sin frihet eller dömas till straff kan få rätt till asyl.","En person som lämnat sitt hemland, där han på grund av sin härstamning, tillhörighet till viss samhällsgrupp eller politisk uppfattning eller eljest på grund av politisk förhållanden riskerar att berövas sin frihet eller dömas till straff kan få rätt till asyl."
Vad behövs för att få svenskt medborgarskap?,Vad behövs för att få svensk medborgarskap?
För att få medborgarskap skall nordiska medborgare ha vistats i Sverige tre år och icke-nordbor sju år.,För att få medborgarskap skall nordisk medborgare ha vistats i Sverige tre år och icke-nordbor sju år.
Nordbor kan även förvärva svenskt medborgarskap genom anmälan hos länsstyrelse efter sju års vistelse i Sverige.,Nordbor kan även förvärva svensk medborgarskap genom anmälan hos länsstyrelse efter sju års vistelse i Sverige.
Över 200000 invandrare har fått svenskt medborgarskap sedan början av 1940-talet.,Över 200000 invandrare har fått svensk medborgarskap sedan början av 1940-talet.
Vilka svenska myndigheter är det främst som sysslar med invandrarfrågor?,Vilka svensk myndigheter är det främst som sysslar med invandrarfrågor?
"I varje svensk postadress ingår ett femsiffrigt postnummer, som skall stå till vänster om adressortens namn.","I varje svensk postadress ingår ett femsiffrig postnummer, som skall stå till vänster om adressortens namn."
Postnumret skrivs med ett litet mellanrum (vid maskinskrift ett mellanslag) mellan tredje och fjärde siffran och ett något större mellanrum (vid maskinskrift två mellanslag) mellan sista siffran och ortnamnet.,Postnumret skrivs med ett liten mellanrum (vid maskinskrift ett mellanslag) mellan tredje och fjärde siffran och ett något större mellanrum (vid maskinskrift två mellanslag) mellan sista siffran och ortnamnet.
"Om en adressort inte går att finna i del 1, bör man se efter om den förekommer i del 3, förteckning över indragna och namnändrade postanstalter, som börjar på sid 189.","Om en adressort inte går att finna i del 1, bör man se efter om den förekommer i del 3, förteckning över indragen och namnändrade postanstalter, som börjar på sid 189."
I en del större städer och också på vissa orter som ligger i de tre största städernas närområden har varje ort inte bara ett enda eller några få postnummer utan en hel nummerserie.,I en del större städer och också på viss orter som ligger i de tre största städernas närområden har varje ort inte bara ett enda eller några få postnummer utan en hel nummerserie.
Detta betyder att udda husnummer t o m 17 och jämna husnummer t o m 18 har postnumret 50232.,Detta betyder att udda husnummer t o m 17 och jämn husnummer t o m 18 har postnumret 50232.
På en del orter har vissa företag och institutioner med mycket stor ankommande post fått eget postnummer.,På en del orter har viss företag och institutioner med mycket stor ankommande post fått eget postnummer.
Av exempel på sid 9 framgår hur adressen skall skrivas i ett sådant fall.,Av exempel på sid 9 framgår hur adressen skall skrivas i ett sådan fall.
"Därför finns det för varje ort i del 2 ett särskilt postnummer, samlingsnummer, som man kan använda i sådana fall.","Därför finns det för varje ort i del 2 ett särskild postnummer, samlingsnummer, som man kan använda i sådana fall."
"Uppgifterna i del 2 beträffande alla adressorter (ortnamn), som ligger inom Göteborgs stad resp Stockholms stad, är sammanförda i två särskilda avsnitt, ett för vardera staden.","Uppgifterna i del 2 beträffande alla adressorter (ortnamn), som ligger inom Göteborgs stad resp Stockholms stad, är sammanförda i två särskild avsnitt, ett för vardera staden."
Varje avsnitt börjar med en förteckning över de adressater som har eget postnummer.,Varje avsnitt börjar med en förteckning över de adressater som har egen postnummer.
"Några länder har andra regler än vi för placeringen av postnumret, t ex USA och Storbritannien.","Några länder har annan regler än vi för placeringen av postnumret, t ex USA och Storbritannien."
"När man skriver till ett sådant land, bör man framför postnumret också sätta ut adresslandets nationalitetsbeteckning för bilar.","När man skriver till ett sådan land, bör man framför postnumret också sätta ut adresslandets nationalitetsbeteckning för bilar."
"På detta sätt kan man förhindra, att en sorteringsmaskin förväxlar en inrikes försändelse med en försändelse till ett annat land.","På detta sätt kan man förhindra, att en sorteringsmaskin förväxlar en inrikes försändelse med en försändelse till ett annan land."
"Posten tillhandahåller också en förteckning över samtliga postnummer i nummerföljd, där man kan ta reda på till vilken adresspostanstalt varje särskilt nummer hänför sig och dessutom få upplysning om i vilket kommunblock och vilken kommunblocksregion adressorten ligger.","Posten tillhandahåller också en förteckning över samtlig postnummer i nummerföljd, där man kan ta reda på till vilken adresspostanstalt varje särskilt nummer hänför sig och dessutom få upplysning om i vilket kommunblock och vilken kommunblocksregion adressorten ligger."
I vissa långväga förbindelser kräver transporten så lång tid - vanliga paket transporteras inte med flyg - att adresskortet kan delas ut först på fjärde eller i undantagsfall på femte vardagen efter inlämningsdagen.,I viss långväga förbindelser kräver transporten så lång tid - vanliga paket transporteras inte med flyg - att adresskortet kan delas ut först på fjärde eller i undantagsfall på femte vardagen efter inlämningsdagen.
I vissa långväga förbindelser kräver transporten så lång tid - vanliga paket transporteras inte med flyg - att paketen kan köras ut till adressaten först på fjärde eller i undantagsfall på femte vardagen efter inlämningsdagen.,I viss långväga förbindelser kräver transporten så lång tid - vanliga paket transporteras inte med flyg - att paketen kan köras ut till adressaten först på fjärde eller i undantagsfall på femte vardagen efter inlämningsdagen.
I vissa förbindelser mellan avlägsna orter räcker emellertid inte nattimmarna till för att tåg och flyg skall hinna transportera fram ilpaket till adressorten innan brevbäringsturen påbörjas.,I viss förbindelser mellan avlägsna orter räcker emellertid inte nattimmarna till för att tåg och flyg skall hinna transportera fram ilpaket till adressorten innan brevbäringsturen påbörjas.
I sådana fall försöker postanstalten på adressorten komma i kontakt med adressaten per telefon för att meddela att ett ilpaket finns att hämta.,I sådan fall försöker postanstalten på adressorten komma i kontakt med adressaten per telefon för att meddela att ett ilpaket finns att hämta.
"Ilbefordran + expressutdelning - när Ni önskar att sändningen dels når adressorten så snabbt som möjligt, dels delas ut till adressaten med särskilt bud snarast möjligt.","Ilbefordran + expressutdelning - när Ni önskar att sändningen dels når adressorten så snabbt som möjligt, dels delas ut till adressaten med särskild bud snarast möjligt."
På sön- och helgdagar gäller vissa inskränkningar som postanstalterna kan lämna besked om.,På sön- och helgdagar gäller viss inskränkningar som postanstalterna kan lämna besked om.
"Denna kan dock utebli av andra orsaker, varför det inte är något säkert bevis på att graviditet föreligger.","Denna kan dock utebli av annan orsaker, varför det inte är något säkert bevis på att graviditet föreligger."
Andra tecken på graviditet förekommer men kan för kvinnan vara svårtolkade.,Annan tecken på graviditet förekommer men kan för kvinnan vara svårtolkade.
RFSU-laboratoriet utför sådana undersökningar.,RFSU-laboratoriet utför sådan undersökningar.
"Under graviditet producerar ägget ett speciellt hormon, som delvis lämnar kroppen genom urinen.","Under graviditet producerar ägget ett speciell hormon, som delvis lämnar kroppen genom urinen."
Detta hormon förekommer hos friska kvinnor endast under graviditet.,Detta hormon förekommer hos frisk kvinnor endast under graviditet.
Vid RFSU-laboratoriet användes en snabb s.k. immunologisk metod utarbetad av svenska forskare.,Vid RFSU-laboratoriet användes en snabb s.k. immunologisk metod utarbetad av svensk forskare.
"För att RFSU-laboratoriets undersökning skall bli tillförlitlig fordras att Ni... 1. tidigast 10 dagar efter den uteblivna menstruationens beräknade första dag eller tidigast fyra veckor efter eventuellt befruktningstillfälle tar... 2. ett prov av Er morgonurin, ca 1/2 dl (= 50 gr), i en väl rengjord flaska (glas eller plast), som etiketteras med Ert namn och som... 3. inlämnas eller postas till RFSU-laboratoriet tillsammans med en av Er ifylld inlämningsblankett.","För att RFSU-laboratoriets undersökning skall bli tillförlitlig fordras att Ni... 1. tidigast 10 dagar efter den uteblivna menstruationens beräknade första dag eller tidigast fyra veckor efter eventuell befruktningstillfälle tar... 2. ett prov av Er morgonurin, ca 1/2 dl (= 50 gr), i en väl rengjord flaska (glas eller plast), som etiketteras med Ert namn och som... 3. inlämnas eller postas till RFSU-laboratoriet tillsammans med en av Er ifylld inlämningsblankett."
"Resultat av urinundersökningen kan Ni få måndagar - fredagar per tel. 08/680940 mellan kl. 15.30 - 16.30 (juni, juli, augusti kl. 15.00 - 15.45) resp. tel. 031/119840 mellan kl. 14.30 - 15.00. 1. samma dag som provet inlämnats till någon av RFSU-klinikerna före kl 10.30 2. samma dag som laboratoriet i Stockholm resp. Göteborg fått provet per post eller från annat inlämningsställe.","Resultat av urinundersökningen kan Ni få måndagar - fredagar per tel. 08/680940 mellan kl. 15.30 - 16.30 (juni, juli, augusti kl. 15.00 - 15.45) resp. tel. 031/119840 mellan kl. 14.30 - 15.00. 1. samma dag som provet inlämnats till någon av RFSU-klinikerna före kl 10.30 2. samma dag som laboratoriet i Stockholm resp. Göteborg fått provet per post eller från annan inlämningsställe."
Ni kan också få det översänt per post i ett förslutet neutralt kuvert.,Ni kan också få det översänt per post i ett försluten neutralt kuvert.
De som erhållit telefonsvar får obligatoriskt också laboratoriesvaret per post för att eventuella missförstånd skall undvikas.,De som erhållit telefonsvar får obligatoriskt också laboratoriesvaret per post för att eventuell missförstånd skall undvikas.
"Innebär graviditeten omedelbara personliga eller sociala problem, står RFSU:s kurator till tjänst med råd.","Innebär graviditeten omedelbar personliga eller sociala problem, står RFSU:s kurator till tjänst med råd."
"Vid båda dragningarna dessutom massor av andra vinster, på 100000, 25000, 10000, 5000 kr etc.","Vid båda dragningarna dessutom massor av annan vinster, på 100000, 25000, 10000, 5000 kr etc."
Och inom ramen för det stora skattelotteriet deltar du också i ett särskilt födelsedagslotteri.,Och inom ramen för det stora skattelotteriet deltar du också i ett särskild födelsedagslotteri.
Du har inte bara chansen att vinna skattefria toppvinster utan får dessutom högsta bankränta plus en extra skattefri sparpremie på 5 %.,Du har inte bara chansen att vinna skattefri toppvinster utan får dessutom högsta bankränta plus en extra skattefri sparpremie på 5 %.
"Det är inte varje dag som du erbjuds att delta i två stora vinstutlottningar och sedan få tillbaka lottpengarna med högsta bankränta plus en extra, skattefri sparpremie.","Det är inte varje dag som du erbjuds att delta i två stor vinstutlottningar och sedan få tillbaka lottpengarna med högsta bankränta plus en extra, skattefri sparpremie."
Samma förmåner gäller även för oskiftade dödsbon.,Samma förmåner gäller även för oskiftad dödsbon.
"Om du får mindre än 100 kronor eller om du inte får jämnt hundratal kronor tillbaka på skatten får du, om du vill, skjuta till ett belopp som gör att du kommer upp till närmaste hundratal kronor.","Om du får mindre än 100 kronor eller om du inte får jämn hundratal kronor tillbaka på skatten får du, om du vill, skjuta till ett belopp som gör att du kommer upp till närmaste hundratal kronor."
Övriga upplysningar,Övrig upplysningar
"Musik, teckning och slöjd blir obligatoriska ämnen med samma antal timmar för samtliga.","Musik, teckning och slöjd blir obligatorisk ämnen med samma antal timmar för samtliga."
"Musik förekommer i årskurserna 7 och 9, teckning och slöjd i samtliga årskurser.","Musik förekommer i årskurserna 7 och 9, teckning och slöjd i samtlig årskurser."
Den praktiska yrkesorienteringen förberedes genom särskilda studiebesök under årskurs 8.,Den praktiska yrkesorienteringen förberedes genom särskild studiebesök under årskurs 8.
Nya tillvalsämnen,Ny tillvalsämnen
De tre senare har såväl teoretiska som praktiska inslag.,De tre senare har såväl teoretisk som praktiska inslag.
Samtliga tillvalsämnen ger lika behörighet till gymnasiestudier.,Samtlig tillvalsämnen ger lika behörighet till gymnasiestudier.
Fritt valt arbete,Fritt vald arbete
Ett helt nytt inslag i grundskolan blir fritt valt arbete.,Ett helt ny inslag i grundskolan blir fritt valt arbete.
"Tiden får inte användas till fortsatt undervisning i obligatoriska ämnen eller tillvalsämnen, utan eleverna skall välja aktiviteter efter intresse på andra områden.","Tiden får inte användas till fortsatt undervisning i obligatorisk ämnen eller tillvalsämnen, utan eleverna skall välja aktiviteter efter intresse på andra områden."
Betyg ges inte i fritt valt arbete.,Betyg ges inte i fritt vald arbete.
"På motsvarande sätt kan undervisning i andra minoriteters språk ordnas, om skolstyrelsen så beslutar.","På motsvarande sätt kan undervisning i annan minoriteters språk ordnas, om skolstyrelsen så beslutar."
I övrigt kommer skolan att på annat sätt informera hemmen om elevernas skolarbete och studieresultat.,I övrigt kommer skolan att på annan sätt informera hemmen om elevernas skolarbete och studieresultat.
Förstärkning av vissa ämnesinslag,Förstärkning av viss ämnesinslag
"Undervisningen blir utökad i bl a * miljöfrågor * sexual- och samlevnadsfrågor * könsrollsfrågor * internationella frågor och problem * trafik * alkohol, narkotika och tobak","Undervisningen blir utökad i bl a * miljöfrågor * sexual- och samlevnadsfrågor * könsrollsfrågor * internationell frågor och problem * trafik * alkohol, narkotika och tobak"
Eleverna kommer att få ökat medinflytande i planeringen av sitt skolarbete men också vidgat ansvar för det.,Eleverna kommer att få ökad medinflytande i planeringen av sitt skolarbete men också vidgat ansvar för det.
Varje skola får vidare ökat pedagogiskt ansvar med större möjligheter att själv planera undervisning och arbetssätt.,Varje skola får vidare ökad pedagogiskt ansvar med större möjligheter att själv planera undervisning och arbetssätt.
Skolstyrelserna får ett vidgat ansvar också för vissa pedagogiska frågor.,Skolstyrelserna får ett vidgad ansvar också för vissa pedagogiska frågor.
"För ett sådant arbetsområde kan man även tänka sig en samverkan med ämnen som svenska, musik och teckning.","För ett sådan arbetsområde kan man även tänka sig en samverkan med ämnen som svenska, musik och teckning."
Skolan får ökade möjligheter att ge specialundervisning.,Skolan får ökad möjligheter att ge specialundervisning.
"I sistnämnda fall går eleven i vanlig klass men får vissa timmar hjälp av speciallärare, t ex i klinik.","I sistnämnda fall går eleven i vanlig klass men får viss timmar hjälp av speciallärare, t ex i klinik."
"Skolstyrelse, skolledare och lärare får också ökade möjligheter att inom vissa ramar planera undervisningen så som bäst passar för den enskilda skolan.","Skolstyrelse, skolledare och lärare får också ökad möjligheter att inom vissa ramar planera undervisningen så som bäst passar för den enskilda skolan."
"Man kan också använda resurserna för medverkan av experter, assistenter eller biträden eller för inköp av särskilda, väl utvecklade läromedel.","Man kan också använda resurserna för medverkan av experter, assistenter eller biträden eller för inköp av särskild, väl utvecklade läromedel."
Kommunens barnavårdsnämnd ska verka för att barn och ungdomar får en gynnsam utveckling och goda uppväxtförhållanden.,Kommunens barnavårdsnämnd ska verka för att barn och ungdomar får en gynnsam utveckling och god uppväxtförhållanden.
"Detta innebär bl.a. * att ordna daghem, lekskolor, barnkolonier och fritidsverksamhet för barn och ungdom, * att lämna råd och upplysningar om uppfostran till de föräldrar som begär det, * att ordna vård åt fosterbarn, ge råd och hjälp i adoptionsfrågor, * att betala ut barnbidrag och bidragsförskott, * att gripa in och hjälpa om barn och ungdom råkar i nöd, utsätts för vanvård eller kommer på villovägar, * att i vissa fall besluta om övervakning eller att flytta den unge från hemmet, t.ex. till en ungdomsvårdsskola.","Detta innebär bl.a. * att ordna daghem, lekskolor, barnkolonier och fritidsverksamhet för barn och ungdom, * att lämna råd och upplysningar om uppfostran till de föräldrar som begär det, * att ordna vård åt fosterbarn, ge råd och hjälp i adoptionsfrågor, * att betala ut barnbidrag och bidragsförskott, * att gripa in och hjälpa om barn och ungdom råkar i nöd, utsätts för vanvård eller kommer på villovägar, * att i viss fall besluta om övervakning eller att flytta den unge från hemmet, t.ex. till en ungdomsvårdsskola."
För varje utomäktenskapligt barn utser barnavårdsnämnden en barnavårdsman.,För varje utomäktenskaplig barn utser barnavårdsnämnden en barnavårdsman.
"Barnavårdsmannen ska se till att barnets rätt tas tillvara i bl.a. ekonomiska frågor, ge biträde inför domstol och hjälpa föräldrarna med råd och anvisningar.","Barnavårdsmannen ska se till att barnets rätt tas tillvara i bl.a. ekonomisk frågor, ge biträde inför domstol och hjälpa föräldrarna med råd och anvisningar."
Barnkolonier eller enskilda feriehem kan ge barn upp till 15 år miljöbyte och tillfälle till friluftsliv under tre sommarveckor eller mera.,Barnkolonier eller enskild feriehem kan ge barn upp till 15 år miljöbyte och tillfälle till friluftsliv under tre sommarveckor eller mera.
Några kolonier är avsedda för handikappade eller klena barn.,Några kolonier är avsedda för handikappad eller klena barn.
"Vissa organisationer ordnar s.k. ungdomsläger, i allmänhet under sommaren.","Viss organisationer ordnar s.k. ungdomsläger, i allmänhet under sommaren."
Kommunalt organiserade familjedaghem i privatfamiljer som under dagen tar emot barn medan föräldrarna förvärvsarbetar.,Kommunalt organiserad familjedaghem i privatfamiljer som under dagen tar emot barn medan föräldrarna förvärvsarbetar.
Sjuka barn vars föräldrar förvärvsarbetar kan få tillsyn i hemmet av barnvårdarinnor (barnsamariter).,Sjuk barn vars föräldrar förvärvsarbetar kan få tillsyn i hemmet av barnvårdarinnor (barnsamariter).
Sådana finns tills vidare bara på vissa orter men verksamheten är under utbyggnad.,Sådana finns tills vidare bara på viss orter men verksamheten är under utbyggnad.
Barn och ungdom med bl.a. psykiska störningar får gratis behandling och rådgivning vid rådgivningscentraler.,Barn och ungdom med bl.a. psykisk störningar får gratis behandling och rådgivning vid rådgivningscentraler.
"Det kan gälla bl.a. idrottsplatser, badanläggningar, ungdomsgårdar och andra samlingslokaler.","Det kan gälla bl.a. idrottsplatser, badanläggningar, ungdomsgårdar och annan samlingslokaler."
"Stat och kommun stöder också ungdoms-, idrotts- och andra organisationer.","Stat och kommun stöder också ungdoms-, idrotts- och annan organisationer."
Familjer som tjänar mindre än cirka 17000 kr / år får fullt bostadstillägg.,Familjer som tjänar mindre än cirka 17000 kr / år får full bostadstillägg.
Kommunalt bostadstillägg kan en familj få ovanpå det statliga tillägget om den har en bostadskostnad på i regel minst 425 kr per månad.,Kommunal bostadstillägg kan en familj få ovanpå det statliga tillägget om den har en bostadskostnad på i regel minst 425 kr per månad.
Vissa kommuner ger ett speciellt bostadstillägg till handikappade som bor i invalidbostäder eller i andra lämpligt utrustade bostäder.,Viss kommuner ger ett speciellt bostadstillägg till handikappade som bor i invalidbostäder eller i andra lämpligt utrustade bostäder.
Det kallas kommunalt bostadstillägg för handikappade (Kbh).,Det kallas kommunal bostadstillägg för handikappade (Kbh).
"Kommunalt bostadstillägg (Kbt) kan ges till den som har ålders-, förtids- eller änkepension, sjukbidrag eller hustrutillägg","Kommunal bostadstillägg (Kbt) kan ges till den som har ålders-, förtids- eller änkepension, sjukbidrag eller hustrutillägg"
Se Pension (Kommunalt bostadstillägg) sida 16.,Se Pension (Kommunal bostadstillägg) sida 16.
I en del andra kommuner sköts förmedlingen av kommunalnämnden / drätselkammaren eller annat kommunalt organ.,I en del annan kommuner sköts förmedlingen av kommunalnämnden / drätselkammaren eller annat kommunalt organ.
Omkring 90 procent av bostadsbyggandet stöds genom statliga lån.,Omkring 90 procent av bostadsbyggandet stöds genom statlig lån.
För enskilda egnahemsbyggare är det i regel 20 procent.,För enskild egnahemsbyggare är det i regel 20 procent.
Om den skulle visa sig vara oskälig kan nämnden fastställa den till ett skäligt belopp.,Om den skulle visa sig vara oskälig kan nämnden fastställa den till ett skälig belopp.
Lagen ger också hyresgästen rätt att i vissa fall byta lägenheten även om hyresvärden skulle motsätta sig ett byte.,Lagen ger också hyresgästen rätt att i viss fall byta lägenheten även om hyresvärden skulle motsätta sig ett byte.
"Även underhållsbidrag, bidragsförskott, studiemedel, trafiklivräntor, yrkesskadelivräntor och vissa privata pensionsavtal är värdeskyddade genom anknytning till KPI.","Även underhållsbidrag, bidragsförskott, studiemedel, trafiklivräntor, yrkesskadelivräntor och viss privata pensionsavtal är värdeskyddade genom anknytning till KPI."
Konsumentprisindex skall visa prisförändringar på jämförbara varor vid oförändrad kvalitet.,Konsumentprisindex skall visa prisförändringar på jämförbar varor vid oförändrad kvalitet.
Om kvalitetsförändringen kan anses motsvara prisförändringen så blir index opåverkat - i annat fall skall åtminstone någon del av prishöjningen beaktas.,Om kvalitetsförändringen kan anses motsvara prisförändringen så blir index opåverkat - i annan fall skall åtminstone någon del av prishöjningen beaktas.
För att göra sådana här värderingar måste statistiska centralbyrån ha hjälp av experter.,För att göra sådan här värderingar måste statistiska centralbyrån ha hjälp av experter.
"Förr ingick bland representantvarorna i KPI varor som fårstek, bruna bönor, rågmjöl, herrtrenchcoat och tvättbräde.","Förr ingick bland representantvarorna i KPI varor som fårstek, brun bönor, rågmjöl, herrtrenchcoat och tvättbräde."
Under varje tolvmånadersperiod (december - december) mäts prisutvecklingen på identiska varor.,Under varje tolvmånadersperiod (december - december) mäts prisutvecklingen på identisk varor.
Som ett litet exempel på hur KPI används har vi räknat ut prisstegringen från januari 1969 till januari 1970.,Som ett liten exempel på hur KPI används har vi räknat ut prisstegringen från januari 1969 till januari 1970.
